Año;Mes;Temperatura Máxima;Temperatura Mínima;Temperatura promedio;Enos 
2007;Enero;26,4;4,4;14,11;Niño
2007;Febrero;25,4;-4,6;13,48;Neutro
2007;Marzo;24;5,1;14,23;Neutro
2007;Abril;23;6,6;14,75;Neutro
2007;Mayo;21,9;5,9;13,26;Neutro
2007;Junio;19,8;5,9;12,71;Neutro
2007;Julio;23,6;4,3;13,32;Niña
2007;Agosto;23,3;3;13,04;Niña
2007;Septiembre;24,3;1,7;13,56;Niña
2007;Octubre;25,7;4,2;13,27;Niña
2007;Noviembre;25,7;-0,1;12,85;Niña
2008;Diciembre;23,8;2,1;11,98;Niña
2008;Enero;23,8;-1,5;12,16;Niña
2008;Febrero;23,5;-1,1;11,43;Niña
2008;Marzo;24,5;3,8;13,39;Niña
2008;Abril;24,2;2,2;13,42;Niña
2008;Mayo;22,7;4,5;13,68;Niña
2008;Junio;22,5;5,7;13,72;Niña
2008;Julio;21;6,1;13,45;Neutro
2008;Agosto;21,6;5;13,69;Neutro
2008;Septiembre;22,6;6;13,97;Neutro
2008;Octubre;22,7;4,3;14,14;Neutro
2008;Noviembre;22,8;7;14,29;Niña
2009;Diciembre;22,9;4,3;14,03;Niña
2009;Enero;23,5;4;14,05;Niña
2009;Febrero;23,8;5,1;14,22;Niña
2009;Marzo;23,7;7,3;14,32;Niña
2009;Abril;24,4;5,7;14,71;Neutro
2009;Mayo;22,8;5,4;14,58;Neutro
2009;Junio;23,3;6,4;14,35;Neutro
2009;Julio;21,4;6,4;13,92;Niño
2009;Agosto;23,4;7,1;14,47;Niño
2009;Septiembre;22,9;4;14,56;Niño
2009;Octubre;24,1;3,7;14,34;Niño
2009;Noviembre;24,6;5,3;14,7;Niño
2010;Diciembre;24,9;2,8;14,64;Niño
2010;Enero;25;0,4;14,67;Niño
2010;Febrero;26,2;6;15,62;Niño
2010;Marzo;25,2;5,3;15,92;Niño
2010;Abril;24,2;7,4;15,09;Neutro
2010;Mayo;23,9;9,1;15,17;Neutro
2010;Junio;22,3;7,3;14,55;Niña
2010;Julio;24,1;6,6;14,39;Niña
